Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
tail module,0.029782,0.092728,0.13165,0,0,0,0.41473,0.00022915,-3.2995E-11,7.8425E-07,0.00037953,-3.9314E-11,0.00040608,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/tail module.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/tail module.STL,,Mock Tail Module-1;Joint Module-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1,0.062787,0.04315,-0.00085307,0,0,0,0.1932,7.8406E-05,3.2995E-11,-7.8425E-07,0.00018304,5.1735E-12,0.00020219,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L1.STL,,Single Circular Snake Assembly - Version 3 - 5_20 - urdf-2,Origin_J1,Axis_J1,J1,revolute,0.12635,-0.08835,0.092728,-3.1416,0,0,tail module,0,1,0,0,0,-1.571,1.571,,,,,,,,
L2,0.062787,0.00025,-0.00085307,0,0,0,0.1932,7.8406E-05,3.0628E-11,-7.8427E-07,0.00018304,1.0369E-11,0.00020219,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L2.STL,,Single Circular Snake Assembly - Version 3 - 5_20 - urdf-3,Origin_J2,Axis_J2,J2,revolute,0.126,0.04315,0,-1.5708,0,-0.091004,L1,0,1,0,0,0,-1.571,1.571,,,,,,,,
L3,0.062787,0.00025,-0.00085305,0,0,0,0.1932,7.8406E-05,5.729E-11,-7.842E-07,0.00018304,-2.5509E-12,0.00020219,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L3.STL,,Single Circular Snake Assembly - Version 3 - 5_20 - urdf-4,Origin_J3,Axis_J3,J3,revolute,0.126,0.00025,0,1.5708,0,-0.32359,L2,0,1,0,0,0,-1.571,1.571,,,,,,,,
L4,0.062787,0.00025001,-0.00085308,0,0,0,0.1932,7.8406E-05,3.7897E-11,-7.8428E-07,0.00018304,4.1666E-12,0.00020219,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L4.STL,,Single Circular Snake Assembly - Version 3 - 5_20 - urdf-5,Origin_J4,Axis_J4,J4,revolute,0.126,0.00025,0,-1.5708,0,-0.11916,L3,0,1,0,0,0,-1.571,1.571,,,,,,,,
L5,0.062787,0.00025001,-0.00085308,0,0,0,0.1932,7.8406E-05,3.8745E-11,-7.8428E-07,0.00018304,1.6026E-11,0.00020219,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L5.STL,,Single Circular Snake Assembly - Version 3 - 5_20 - urdf-6,Origin_J5,Axis_J5,J5,revolute,0.126,0.00025,0,1.5708,0,0.44482,L4,0,1,0,0,0,-1.571,1.571,,,,,,,,
L6,0.062787,0.00025,-0.00085307,0,0,0,0.1932,7.8406E-05,2.4209E-11,-7.8424E-07,0.00018304,1.5239E-11,0.00020219,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L6.STL,,Single Circular Snake Assembly - Version 3 - 5_20 - urdf-7,Origin_J6,Axis_J6,J6,revolute,0.126,0.00025,0,-1.5708,0,0.20169,L5,0,1,0,0,0,-1.571,1.571,,,,,,,,
L7,0.062787,0.00025,-0.00085307,0,0,0,0.1932,7.8406E-05,2.9036E-11,-7.8425E-07,0.00018304,1.1388E-11,0.00020219,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L7.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L7.STL,,Single Circular Snake Assembly - Version 3 - 5_20 - urdf-8,Origin_J7,Axis_J7,J7,revolute,0.126,0.00025,0,-1.5708,0,-0.10986,L6,0,1,0,0,0,-1.571,1.571,,,,,,,,
L8,0.062787,0.00025,-0.00085307,0,0,0,0.1932,7.8406E-05,3.229E-11,-7.8425E-07,0.00018304,9.6328E-12,0.00020219,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L8.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L8.STL,,Single Circular Snake Assembly - Version 3 - 5_20 - urdf-9,Origin_J8,Axis_J8,J8,revolute,0.126,0.00025,0,1.5708,0,-0.0033943,L7,0,1,0,0,0,-1.571,1.571,,,,,,,,
L9,0.062787,0.00025,-0.00085307,0,0,0,0.1932,7.8406E-05,3.2517E-11,-7.8425E-07,0.00018304,9.6413E-12,0.00020219,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L9.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L9.STL,,Single Circular Snake Assembly - Version 3 - 5_20 - urdf-10,Origin_J9,Axis_J9,J9,revolute,0.126,0.00025,0,-1.5708,0,-0.003191,L8,0,1,0,0,0,-1.571,1.571,,,,,,,,
L10,0.062787,0.00025001,-0.00085289,0,0,0,0.1932,7.8406E-05,1.3511E-11,-7.8461E-07,0.00018304,9.5051E-12,0.00020219,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L10.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/L10.STL,,Single Circular Snake Assembly - Version 3 - 5_20 - urdf-11,Origin_J10,Axis_J10,J10,revolute,0.126,0.00025,0,1.5708,0,-9.5563E-05,L9,0,1,0,0,0,-1.571,1.571,,,,,,,,
Head Module,-0.060864,3.3341E-05,-2.3516E-05,0,0,0,0.24807,0.00014096,-3.0491E-07,6.1702E-07,9.8921E-05,-1.6787E-06,0.00010326,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/Head Module.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF Snake Assembly - v1/meshes/Head Module.STL,,Head Module-1,Origin_J11,Axis_J11,J11,revolute,0.126,0.00025002,0,-0.43761,0,-2.8834,L10,0,0.42378,-0.90577,0,0,-1.571,1.571,,,,,,,,
